,ws,bs,cost
85,-15.0,-15.0,26488.464545454543
86,-14.0,-14.0,24666.41696969697
87,-13.0,-13.0,22909.920303030303
88,-12.0,-12.0,21218.97454545455
89,-11.0,-11.0,19593.5796969697
90,-10.0,-10.0,18033.73575757576
91,-9.0,-9.0,16539.44272727273
92,-8.0,-8.0,15110.700606060605
93,-7.0,-7.0,13747.509393939394
94,-6.0,-6.0,12449.869090909091
95,-5.0,-5.0,11217.779696969697
96,-4.0,-4.0,10051.241212121213
97,-3.0,-3.0,8950.253636363635
98,-2.0,-2.0,7914.81696969697
99,-1.0,-1.0,6944.931212121212
100,0.0,0.0,6040.596363636363
101,1.0,1.0,5201.812424242424
102,2.0,2.0,4428.579393939393
103,3.0,3.0,3720.8972727272726
104,4.0,4.0,3078.7660606060604
105,5.0,5.0,2502.1857575757576
106,6.0,6.0,1991.1563636363637
107,7.0,7.0,1545.6778787878789
108,8.0,8.0,1165.750303030303
109,9.0,9.0,851.3736363636364
110,10.0,10.0,602.547878787879
111,11.0,11.0,419.27303030303034
112,12.0,12.0,301.54909090909086
113,13.0,13.0,249.37606060606066
114,14.0,14.0,262.75393939393945
115,15.0,15.0,341.6827272727273
116,16.0,16.0,486.1624242424242
117,17.0,17.0,696.1930303030302
118,18.0,18.0,971.7745454545454
119,19.0,19.0,1312.9069696969698
120,20.0,20.0,1719.590303030303
121,21.0,21.0,2191.8245454545454
122,22.0,22.0,2729.609696969697
123,23.0,23.0,3332.9457575757574
124,24.0,24.0,4001.8327272727265
125,25.0,25.0,4736.270606060605
126,26.0,26.0,5536.259393939394
127,27.0,27.0,6401.7990909090895
128,28.0,28.0,7332.889696969696
129,29.0,29.0,8329.531212121212
130,30.0,30.0,9391.723636363637
131,31.0,31.0,10519.466969696969
132,32.0,32.0,11712.761212121211
133,33.0,33.0,12971.606363636363
134,34.0,34.0,14296.002424242422
135,35.0,35.0,15685.949393939394
136,36.0,36.0,17141.44727272727
137,37.0,37.0,18662.49606060606
138,38.0,38.0,20249.095757575757
139,39.0,39.0,21901.24636363636
140,40.0,40.0,23618.94787878788
141,41.0,41.0,25402.200303030302
142,42.0,42.0,27251.003636363635
143,43.0,43.0,29165.357878787876
144,44.0,44.0,31145.26303030303
145,45.0,45.0,33190.71909090909
146,46.0,46.0,35301.72606060606
147,47.0,47.0,37478.283939393936
148,48.0,48.0,39720.39272727272
149,49.0,49.0,42028.05242424242
150,50.0,50.0,44401.26303030303
151,51.0,51.0,46840.024545454544
152,52.0,52.0,49344.33696969697
153,53.0,53.0,51914.20030303031
154,54.0,54.0,54549.61454545455
155,55.0,55.0,57250.5796969697
156,56.0,56.0,60017.09575757576
157,57.0,57.0,62849.16272727272
158,58.0,58.0,65746.7806060606
159,59.0,59.0,68709.9493939394
160,60.0,60.0,71738.6690909091
161,61.0,61.0,74832.9396969697
162,62.0,62.0,77992.76121212122
163,63.0,63.0,81218.13363636362
164,64.0,64.0,84509.05696969696
165,65.0,65.0,87865.53121212122
166,66.0,66.0,91287.55636363637
167,67.0,67.0,94775.13242424243
168,68.0,68.0,98328.25939393938
169,69.0,69.0,101946.93727272727
170,70.0,70.0,105631.16606060608
171,71.0,71.0,109380.94575757576
172,72.0,72.0,113196.27636363637
173,73.0,73.0,117077.15787878788
174,74.0,74.0,121023.5903030303
175,75.0,75.0,125035.57363636365
176,76.0,76.0,129113.1078787879
177,77.0,77.0,133256.19303030302
178,78.0,78.0,137464.82909090907
179,79.0,79.0,141739.01606060608
